statistic,month_text,coicop_item,value
Consumer Price Index,2023 September,Yoghurt,99.2
Consumer Price Index,2023 September,Cheese and curd,98.9
Consumer Price Index,2023 September,Eggs,100.1
Consumer Price Index,2023 October,"Milk, cheese and eggs",99.5
Consumer Price Index,2023 October,Fresh whole milk,100
Consumer Price Index,2023 October,Yoghurt,100.4
Consumer Price Index,2023 October,Cheese and curd,98.5
Consumer Price Index,2023 October,Eggs,100.1
Consumer Price Index,2023 November,"Milk, cheese and eggs",99.8
Consumer Price Index,2023 November,Fresh whole milk,100
Consumer Price Index,2023 November,Yoghurt,100.4
Consumer Price Index,2023 November,Cheese and curd,99.2
Consumer Price Index,2023 November,Eggs,100.3
Consumer Price Index,2023 December,"Milk, cheese and eggs",100
Consumer Price Index,2023 December,Fresh whole milk,100
Consumer Price Index,2023 December,Yoghurt,100
Consumer Price Index,2023 December,Cheese and curd,100
Consumer Price Index,2023 December,Eggs,100
Consumer Price Index,2024 January,"Milk, cheese and eggs",98.8
Consumer Price Index,2024 January,Fresh whole milk,100.1
Consumer Price Index,2024 January,Yoghurt,98
Consumer Price Index,2024 January,Cheese and curd,98.3
Consumer Price Index,2024 January,Eggs,100.1
Consumer Price Index,2024 February,"Milk, cheese and eggs",99.1
Consumer Price Index,2024 February,Fresh whole milk,100
Consumer Price Index,2024 February,Yoghurt,98.4
Consumer Price Index,2024 February,Cheese and curd,99.3
Consumer Price Index,2024 February,Eggs,100.3
Consumer Price Index,2024 March,"Milk, cheese and eggs",99.9
Consumer Price Index,2024 March,Fresh whole milk,100.2
Consumer Price Index,2024 March,Yoghurt,100
Consumer Price Index,2024 March,Cheese and curd,99.1
Consumer Price Index,2024 March,Eggs,100.3
Consumer Price Index,2024 April,"Milk, cheese and eggs",99.9
Consumer Price Index,2024 April,Fresh whole milk,100.5
Consumer Price Index,2024 April,Yoghurt,100
Consumer Price Index,2024 April,Cheese and curd,99
Consumer Price Index,2024 April,Eggs,100.6
Consumer Price Index,2024 May,"Milk, cheese and eggs",100.1
Consumer Price Index,2024 May,Fresh whole milk,100.5
Consumer Price Index,2024 May,Yoghurt,101.2
Consumer Price Index,2024 May,Cheese and curd,98.6
Consumer Price Index,2024 May,Eggs,100.7
Consumer Price Index,2024 June,"Milk, cheese and eggs",100
Consumer Price Index,2024 June,Fresh whole milk,100.7
Consumer Price Index,2024 June,Yoghurt,100
Consumer Price Index,2024 June,Cheese and curd,98.7
Consumer Price Index,2024 June,Eggs,101.1
Consumer Price Index,2024 July,"Milk, cheese and eggs",99.7
Consumer Price Index,2024 July,Fresh whole milk,100.6
Consumer Price Index,2024 July,Yoghurt,99.1
Consumer Price Index,2024 July,Cheese and curd,98.7
Consumer Price Index,2024 July,Eggs,100.9
Consumer Price Index,2024 August,"Milk, cheese and eggs",99.8
Consumer Price Index,2024 August,Fresh whole milk,100.6
Consumer Price Index,2024 August,Yoghurt,100
Consumer Price Index,2024 August,Cheese and curd,98.1
Consumer Price Index,2024 August,Eggs,100.9
Consumer Price Index,2024 September,"Milk, cheese and eggs",99.6
Consumer Price Index,2024 September,Fresh whole milk,100.9
Consumer Price Index,2024 September,Yoghurt,99.1
Consumer Price Index,2024 September,Cheese and curd,97.7
Consumer Price Index,2024 September,Eggs,100.9
Consumer Price Index,2024 October,"Milk, cheese and eggs",100.1
Consumer Price Index,2024 October,Fresh whole milk,101.3
Consumer Price Index,2024 October,Yoghurt,99.1
Consumer Price Index,2024 October,Cheese and curd,98.9
Consumer Price Index,2024 October,Eggs,100.9
Consumer Price Index,2024 November,"Milk, cheese and eggs",102
Consumer Price Index,2024 November,Fresh whole milk,105.8
Consumer Price Index,2024 November,Yoghurt,99.8
Consumer Price Index,2024 November,Cheese and curd,99.6
Consumer Price Index,2024 November,Eggs,100.9
Consumer Price Index,2024 December,"Milk, cheese and eggs",103
Consumer Price Index,2024 December,Fresh whole milk,108.4
Consumer Price Index,2024 December,Yoghurt,98.4
Consumer Price Index,2024 December,Cheese and curd,100.7
Consumer Price Index,2024 December,Eggs,101
Consumer Price Index,2025 January,"Milk, cheese and eggs",102.3
Consumer Price Index,2025 January,Fresh whole milk,108.5
Consumer Price Index,2025 January,Yoghurt,96.2
Consumer Price Index,2025 January,Cheese and curd,99.8
Consumer Price Index,2025 January,Eggs,101.1
Consumer Price Index,2025 February,"Milk, cheese and eggs",104.6
Consumer Price Index,2025 February,Fresh whole milk,112
Consumer Price Index,2025 February,Yoghurt,97.3
Consumer Price Index,2025 February,Cheese and curd,102.7
